,filename,obj,frame,x,y,size,seq,start,path_time,delta_time,sample_time
0, 14-16\20170823035650_100.h264.txt,9.0,2968,254,155,51703128,0,2017-08-23 03:56:50, 03:58:48, 0:01:58,2017-08-23 03:58:48
1, 14-16\20170823035650_100.h264.txt,9.0,2969,257,154,51703128,1,2017-08-23 03:56:50, 03:58:48, 0:01:58,2017-08-23 03:58:48
2, 14-16\20170823035650_100.h264.txt,9.0,2970,238,147,51703128,3,2017-08-23 03:56:50, 03:58:48, 0:01:58,2017-08-23 03:58:48
3, 14-16\20170823035650_100.h264.txt,9.0,2971,242,146,51703128,4,2017-08-23 03:56:50, 03:58:48, 0:01:58,2017-08-23 03:58:48
4, 14-16\20170823035650_100.h264.txt,9.0,2972,246,146,51703128,5,2017-08-23 03:56:50, 03:58:48, 0:01:58,2017-08-23 03:58:48
5, 14-16\20170823035650_100.h264.txt,9.0,2973,249,145,51703128,6,2017-08-23 03:56:50, 03:58:48, 0:01:58,2017-08-23 03:58:48
6, 14-16\20170823035650_100.h264.txt,9.0,2974,248,140,51703128,8,2017-08-23 03:56:50, 03:58:48, 0:01:58,2017-08-23 03:58:48
7, 14-16\20170823035650_100.h264.txt,9.0,2975,258,144,51703128,9,2017-08-23 03:56:50, 03:58:49, 0:01:59,2017-08-23 03:58:49
8, 14-16\20170823035650_100.h264.txt,9.0,2976,262,143,51703128,10,2017-08-23 03:56:50, 03:58:49, 0:01:59,2017-08-23 03:58:49
9, 14-16\20170823035650_100.h264.txt,9.0,2977,266,142,51703128,11,2017-08-23 03:56:50, 03:58:49, 0:01:59,2017-08-23 03:58:49
10, 14-16\20170823035650_100.h264.txt,9.0,2978,272,142,51703128,12,2017-08-23 03:56:50, 03:58:49, 0:01:59,2017-08-23 03:58:49
11, 14-16\20170823035650_100.h264.txt,9.0,2979,274,142,51703128,13,2017-08-23 03:56:50, 03:58:49, 0:01:59,2017-08-23 03:58:49
12, 14-16\20170823035650_100.h264.txt,9.0,2980,276,141,51703128,14,2017-08-23 03:56:50, 03:58:49, 0:01:59,2017-08-23 03:58:49
13, 14-16\20170823035650_100.h264.txt,9.0,2981,281,141,51703128,15,2017-08-23 03:56:50, 03:58:49, 0:01:59,2017-08-23 03:58:49
14, 14-16\20170823035650_100.h264.txt,9.0,2982,283,141,51703128,16,2017-08-23 03:56:50, 03:58:49, 0:01:59,2017-08-23 03:58:49
15, 14-16\20170823035650_100.h264.txt,9.0,2983,287,140,51703128,17,2017-08-23 03:56:50, 03:58:49, 0:01:59,2017-08-23 03:58:49
16, 14-16\20170823035650_100.h264.txt,9.0,2984,290,140,51703128,18,2017-08-23 03:56:50, 03:58:49, 0:01:59,2017-08-23 03:58:49
17, 14-16\20170823035650_100.h264.txt,9.0,2985,293,136,51703128,19,2017-08-23 03:56:50, 03:58:49, 0:01:59,2017-08-23 03:58:49
18, 14-16\20170823035650_100.h264.txt,9.0,2986,298,135,51703128,20,2017-08-23 03:56:50, 03:58:49, 0:01:59,2017-08-23 03:58:49
19, 14-16\20170823035650_100.h264.txt,9.0,2987,303,134,51703128,21,2017-08-23 03:56:50, 03:58:49, 0:01:59,2017-08-23 03:58:49
20, 14-16\20170823035650_100.h264.txt,9.0,2988,310,133,51703128,22,2017-08-23 03:56:50, 03:58:49, 0:01:59,2017-08-23 03:58:49
